water_pH,TDS,water_temp
9.59,340,22.94
6.81,433,23.31
6.22,433,23.38
6.9,325,24.06
9.04,344,23.38
9.55,308,23.56
7.42,524,26.5
9.48,299,24.19
6.91,315,24.19
8.06,777,24.63
8.21,307,24.5
7.54,302,24.31
8.87,304,24.25
5.8,296,24.75
7.26,570,25.06
10.48,391,23.0
8.45,363,24.63
6.35,437,23.75
7.63,333,22.75
5.69,319,23.94
7.09,310,23.56
6.14,304,24.69
6.31,439,24.13
6.08,365,24.69
9.53,342,23.5
9.18,408,24.13
7.74,321,24.63
9.37,765,23.5
8.37,307,24.5
10.09,338,23.13
7.84,314,23.69
7.8,314,23.56
10.09,783,23.44
6.49,291,24.63
9.46,304,23.94
7.04,341,25.38
8.24,315,24.19
5.8,477,24.25
10.0,386,25.25
9.8,336,22.88
7.68,340,23.19
7.28,565,25.38
9.71,340,22.94
7.0,421,23.5
5.75,326,24.63
7.53,342,23.31
5.79,437,23.81
6.8,333,23.63
5.92,325,24.44
7.56,293,24.19
10.24,310,24.25
9.52,366,24.25
8.16,1134,23.63
7.9,329,22.13
9.21,331,24.19
8.25,346,23.63
8.6,339,22.75
7.92,747,22.75
8.87,305,24.75
10.29,387,22.69
5.68,438,23.5
8.47,340,23.0
5.78,331,22.0
7.1,294,24.88
5.75,361,24.31
5.77,439,24.06
7.26,269,25.38
7.48,635,24.88
7.28,269,25.38
6.76,326,24.81
7.13,344,23.06
9.25,307,24.81
6.67,316,23.94
7.97,444,24.13
8.45,367,24.88
7.79,345,23.81
9.44,295,24.0
8.73,338,22.94
9.93,337,22.81
8.38,438,23.19
7.51,329,22.56
7.84,527,25.31
8.32,340,23.38
5.92,513,25.38
8.35,413,24.06
7.38,340,23.19
9.45,346,23.5
7.6,268,25.06
11.53,386,22.44
9.3,372,25.44
6.22,303,24.75
7.96,329,22.75
7.4,426,23.38
8.2,340,25.0
6.19,430,23.5
9.29,313,24.31
8.31,341,25.5
7.14,533,26.38
6.36,328,22.06
5.74,321,23.94
6.36,535,26.94
6.98,445,23.56
9.23,418,24.0
9.75,342,22.94
7.93,350,23.69
7.37,346,23.5
8.63,332,24.88
5.92,449,23.88
7.47,305,24.69
8.25,351,24.31
5.95,735,24.94
6.54,373,25.0
